Citation,Study,Sample,Measure,Reliability,N,Estimate,Delay,Delay days,Aggregate,Aggregate_num,Estimate_notes,Estimate_searchable,Source
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors : Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13.",1,1,IAT,TRR,39,.27,1 week,7,,,Alcohol Control,Yes,Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors : Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13.",1,1,IAT,TRR,39,.70,1 week,7,,,Drinking Identity,Yes,Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors : Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13.",1,1,IAT,TRR,39,.49,1 week,7,,,Alcohol Excitement,Yes,Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors : Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13.",1,1,IAT,TRR,39,.45,1 week,7,,,Alcohol Approach,Yes,Search
"Krause, S., Back, M. D., Egloff, B., & Schmukle, S. C. (2011). Reliability of implicit self-esteem measures revisited. European Journal of Personality, 25, 239–251.",1,1,IAT,TRR,118,.54,4 weeks,28,,,,Yes,Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688.",1,1,IAT,TRR,116,.40,same session,0,,,Race. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.,Yes,Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688.",1,7,IAT,TRR,116,.65,same session,0,,,Politics. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.,Yes,Search
"Bar-Anan, Y., & Nosek, B. A. (2014). A comparative investigation of seven indirect attitude measures. Behavior Research Methods, 46, 668–688.",1,13,IAT,TRR,116,.26,same session,0,,,Self-Esteem. Data is from a planned missingness design so measurements are not completely independent. Currently treated as independent samples for analysis.,Yes,Search
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294.",2,1,IAT,TRR,67,.62,same session,0,,,Candidate,Yes,OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294.",2,1,IAT,TRR,67,.71,same session,0,,,Gender Identity,Yes,OrigPub
"Spruyt, A., Lemaigre, V., Salhi, B., Van Gucht, D., Tibboel, H., Van Bockstaele, B., … Nackaerts, K. (2015). Implicit attitudes towards smoking predict long-term relapse in abstinent smokers. Psychopharmacology, 232, 2551–2561.",1,1,IAT,TRR,78,.40,4-8 days ,6,,,,Yes,Search
"Bosson, J. K., Swann, J. W., & Pennebaker, J. W. (2000). Stalking the perfect measure of implicit self-esteem: the blind men and the elephant revisited? Journal of Personality and Social Psychology, 79, 631–643.",1,1,IAT,TRR,87,.69,"about 31 days (mean = 31.23, range = 22-38 days)",31,,,,Yes,Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281.",1,1,IAT,TRR,102,.54,1 week ,7,,,,Yes,Search
"Rudolph, A., Schröder-Abé, M., Schütz, A., Gregg, A. P., & Sedikides, C. (2008). Through a glass, less darkly? Reassessing convergent and discriminant validity in measures of implicit self-esteem. European Journal of Psychological Assessment, 24, 273–281.",3,1,IAT,TRR,195,.39,1 week,7,,,original index d,Yes,Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944.",1,1,IAT,TRR,94,0.34,5 months,152,,,IAT Control,Yes,Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944.",1,2,IAT,TRR,74,0.48,5 months,152,,,IAT 5 out of 10,Yes,Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944.",2,1,IAT,TRR,60,.64,1 week,7,,,"Control, Table 2.",Yes,Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944.",2,2,IAT,TRR,61,.34,1 week,7,,,"5 out of 10, Table 2.",Yes,Search
"Stieger, S., Göritz, A. S., & Burger, C. (2010). Personalizing the IAT and the SC-IAT: Impact of idiographic stimulus selection in the measurement of implicit anxiety. Personality and Individual Differences, 48, 940–944.",2,3,IAT,TRR,60,.53,1 week,7,,,"Free association, Table 2.",Yes,Search
"Chevance, G., Héraud, N., Guerrieri, A., Rebar, A., & Boiché, J. (2017). Measuring implicit attitudes toward physical activity and sedentary behaviors: Test-retest reliability of three scoring algorithms of the Implicit Association Test and Single Category-Implicit Association Test. Psychology of Sport and Exercise, 31, 70–78.",1,1,IAT,TRR,54,.75,1 hour,0,,,D-Score,Yes,Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170.",1,1,IAT,TRR,93,.31,2 weeks,14,,,"IAT1-IAT2, Regular IAT",Yes,Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170.",1,1,IAT,TRR,93,.42,4 weeks,28,,,"IAT1-IAT3, Regular IAT",Yes,Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170.",1,1,IAT,TRR,93,.16,6 weeks,42,,,"IAT1-IAT4, Regular IAT",Yes,Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170.",1,1,IAT,TRR,93,.50,2 weeks,14,,,"IAT2-IAT3, Regular IAT",Yes,Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170.",1,1,IAT,TRR,93,.33,4 weeks,28,,,"IAT2-IAT4, Regular IAT",Yes,Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170.",1,1,IAT,TRR,93,.17,2 weeks,14,,,"IAT3-IAT4, Regular IAT",Yes,Search
"Bluemke, M., & Zumbach, J. (2018). Enter the matrix: Does self-activation really matter for aggressiveness after violence exposure? Psychology of Popular Media Culture, No Pagination Specified-No Pagination Specified.",1,1,IAT,TRR,90,.54,same session,0,,,,Yes,Author
"Friese, M., Smith, C. T., Plischke, T., Bluemke, M., & Nosek, B. A. (2012). Do implicit attitudes predict actual voting behavior particularly for undecided voters? PLOS ONE, 7, e44130.",2,1,IAT,TRR,913,.79,About 54.22 days,54,,,"Delay estimated from ""On average, participants took part in the first part of the study 51.74 days (SD = 44.94) before, and in the second part 2.48 days (SD = 1.85) after the election.""",Yes,Author
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330.",1,1,IAT,TRR,101,.34,same session (10 minutes),0,,,Sample size from # of participants who contributed data to TRR,Yes,Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330.",2,1,IAT,TRR,98,.25,1 month,30,,,,Yes,Search
