domain,block_order,alpha,alpha_ci_lower,alpha_ci_upper,n,parts,yi,vi
Body image,con,0.365,-0.05574999999999997,0.7750000000000001,13,2,0.4541302800894454,0.36363636363636365
Body image,incon,0.607,0.24300000000000005,0.8855,10,2,0.9339456671128757,0.5
Clinton-Trump,con,0.388,0.2535,0.5155000000000001,70,2,0.491022996469811,0.058823529411764705
Clinton-Trump,incon,0.468,0.13575,0.7572500000000001,27,2,0.6311117896404926,0.16
Countries (1),con,0.379,0.138,0.6262500000000001,25,2,0.4764241970486583,0.17391304347826086
Countries (1),incon,0.631,0.48675,0.781,28,2,0.9969586349416099,0.15384615384615385
Countries (2),con,0.661,0.5389999999999999,0.8407500000000001,28,2,1.0817551716016869,0.15384615384615385
Countries (2),incon,0.628,0.43024999999999997,0.77875,22,2,0.9888614247089905,0.2
Countries (3),con,0.46199999999999997,0.11350000000000002,0.72875,15,2,0.6198967188203526,0.3076923076923077
Countries (3),incon,0.748,0.6134999999999999,0.84775,16,2,1.3783261914707137,0.2857142857142857
Countries (4),con,0.291,-0.30625,0.69775,9,2,0.3438997524500094,0.5714285714285714
Countries (4),incon,0.676,0.43925,0.87325,9,2,1.1270117631898078,0.5714285714285714
Death (3),con,0.47400000000000003,0.07975000000000003,0.7562500000000001,19,2,0.6424540662444271,0.23529411764705882
Death (3),incon,0.342,-0.716,0.8555,7,2,0.41855034765682,0.8
Gender (1),con,0.031,-0.33825,0.3052500000000001,23,2,0.03149066709137085,0.19047619047619047
Gender (1),incon,0.429,0.29674999999999996,0.5609999999999999,18,2,0.5603660693261269,0.25
Gender (2),con,0.404,0.023000000000000024,0.683,28,2,0.5175146119167874,0.15384615384615385
Gender (2),incon,0.403,0.279,0.5975,68,2,0.515838165589535,0.06060606060606061
Race (1),con,0.445,0.19375,0.63425,22,2,0.5887871652357026,0.2
Race (1),incon,0.607,0.33675,0.79,23,2,0.9339456671128757,0.19047619047619047
Race (2),con,-0.006999999999999996,-0.45875,0.38050000000000006,19,2,-0.006975613736425138,0.23529411764705882
Race (2),incon,0.451,0.040500000000000015,0.7752500000000001,16,2,0.5996568374726066,0.2857142857142857
Race (3),con,0.397,-0.092,0.6632500000000001,19,2,0.5058380822549516,0.23529411764705882
Race (3),incon,0.591,0.2985,0.8074999999999999,17,2,0.8940401229393352,0.26666666666666666
Religion,con,0.449,0.22475,0.63,15,2,0.5960204698292226,0.3076923076923077
Religion,incon,0.525,0.24625000000000002,0.7342500000000001,15,2,0.7444404749474959,0.3076923076923077
Rich-Poor,con,0.477,0.34900000000000003,0.6265000000000001,57,2,0.6481738149172142,0.07272727272727272
Rich-Poor,incon,0.209,-0.14775,0.45,27,2,0.23445731121448313,0.16
Shapes & colors (1),con,0.306,-0.9145,0.9407500000000001,4,2,0.36528331847533263,2
Shapes & colors (1),incon,0.205,-0.271,0.8465000000000001,7,2,0.2294131643278051,0.8
Shapes & colors (2),con,0.782,0.63225,0.912,6,2,1.5232602161930482,1
Shapes & colors (2),incon,0.024000000000000004,-0.48749999999999993,0.37975000000000003,5,2,0.024292692569044587,1.3333333333333333
Shapes & colors (3),con,0.883,0.6307499999999999,0.9777499999999999,6,2,2.145581344184381,1
Shapes & colors (3),incon,0.63,-0.08124999999999996,0.971,4,2,0.9942522733438669,2
Shapes & colors (4),con,0.669,-0.03674999999999996,1,3,2,1.1056369036050742,4
Shapes & colors (4),incon,0.458,-0.4939999999999999,0.8765000000000001,4,2,0.6124892775424908,2
Shapes & colors (5),con,0.653,0.18300000000000002,0.96,11,2,1.058430499035278,0.4444444444444444
Shapes & colors (5),incon,0.8180000000000001,0.67025,0.9155000000000001,11,2,1.7037485919053421,0.4444444444444444
Shapes & colors (6),con,0.19499999999999998,-0.09749999999999999,0.6312500000000001,13,2,0.21691300156357363,0.36363636363636365
Shapes & colors (6),incon,0.0020000000000000035,-0.5559999999999999,0.4555,13,2,0.0020020026706730793,0.36363636363636365
