unique_id,timepoint,domain,age,gender,block_order,met_performance_criteria_typical,met_performance_criteria_stricter,D_overall,D_tt1,D_tt2,D_tt3,D_tt4,PI_overall,PI_tt1,PI_tt2,PI_tt3,PI_tt4
ADHD_101,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,-0.272961186734962,-0.46689191970745947,0.07202839707992258,-0.30838459955672176,-0.3696973589046207,0.4405381944444445,0.4166666666666667,0.5625,0.31076388888888884,0.4774305555555555
ADHD_106,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,0.3494118554956685,0.8747399933373168,0.1338219860771292,0.24301129702146293,0.17019294659433146,0.6529947916666666,0.8237847222222223,0.6510416666666666,0.5833333333333334,0.5390625
ADHD_108,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,0.017457104274114826,0.1709630463150462,-0.13882181849670258,0.20754435276153643,-0.46507870045515926,0.4495985243055555,0.46701388888888884,0.44878472222222215,0.4791666666666667,0.3932291666666667
ADHD_112,1,Stigma - ADHD,19,Female,consistent first,TRUE,TRUE,0.04684192669607699,-0.48136022878983653,0.0799485064629037,0.026280618487889658,0.3071343102294785,0.5098741319444445,0.3645833333333333,0.5720486111111112,0.47482638888888884,0.5980902777777778
ADHD_113,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,-0.1744857327252141,-0.08878691021549778,0.4623745542622641,-0.6876360292415413,-0.32887407793436296,0.42974175347222215,0.5277777777777778,0.6328125,0.2630208333333333,0.3741319444444445
ADHD_117,1,Stigma - ADHD,18,Female,consistent first,TRUE,FALSE,-0.31049421188650395,-0.4566110970436387,0.21458200785807022,-0.6596177665989484,-0.4649297237397433,0.4055989583333333,0.4296875,0.42795138888888884,0.35590277777777785,0.3975694444444445
ADHD_119,1,Stigma - ADHD,18,Male,consistent first,TRUE,TRUE,0.18869011578009073,0.5153575473149417,0.01629860157481084,-0.061616144603558395,0.5633445339792428,0.6044921875,0.6675347222222222,0.6076388888888888,0.4921875,0.65625
ADHD_124,1,Stigma - ADHD,19,Female,consistent first,TRUE,TRUE,0.038693386991684176,0.7325276526599713,-0.13040282271276105,-0.3146722736572294,-0.006577796700824219,0.5269097222222222,0.7560763888888888,0.4973958333333333,0.3758680555555555,0.48003472222222215
ADHD_153,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,-0.14807002379182352,-0.050133151941545995,-0.066113767502925,-0.329239900684223,-0.07467326730275838,0.517578125,0.5850694444444445,0.4895833333333333,0.45746527777777785,0.5616319444444445
ADHD_155,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,-0.050067411203061615,0.0305403787318553,0.20188282796704238,-0.11149122359053011,-0.4269888139521964,0.44769965277777785,0.49045138888888884,0.5572916666666666,0.4348958333333333,0.3177083333333333
ADHD_160,1,Stigma - ADHD,19,Female,consistent first,TRUE,TRUE,-0.020076442224956612,0.567018137559719,0.42052031195514933,-0.35903422419794195,-0.6036529310149495,0.4713541666666667,0.6545138888888888,0.5885416666666666,0.37847222222222215,0.29340277777777785
ADHD_162,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,0.02286548856450542,-0.0077332928643874125,0.38557672384453673,-0.2977715400035978,-0.03346843506967105,0.5084635416666666,0.5138888888888888,0.609375,0.38628472222222215,0.5199652777777778
ADHD_166,1,Stigma - ADHD,19,Male,consistent first,TRUE,TRUE,0.09615961912148306,0.19387134970327916,-0.24881827167662973,0.39531087177066176,0.11124131065916755,0.47271050347222215,0.39670138888888884,0.42621527777777785,0.6024305555555555,0.49045138888888884
ADHD_167,1,Stigma - ADHD,18,Female,consistent first,FALSE,FALSE,-0.031081537202027578,0.2864676261047328,0.14794908956276526,0.3870423621970976,-0.8270894230694625,0.5213758680555555,0.5885416666666666,0.6727430555555555,0.6032986111111112,0.2578125
ADHD_171,1,Stigma - ADHD,19,Female,consistent first,TRUE,TRUE,-0.15207240408421507,-0.44809832331701765,-0.4537803002611933,0.05814324569458073,0.37424206114875685,0.41596137152777785,0.3897569444444445,0.22135416666666666,0.44184027777777785,0.6076388888888888
ADHD_173,1,Stigma - ADHD,20,Male,consistent first,TRUE,TRUE,0.06202357525679402,0.3345214428118269,0.1678104349460735,-0.06574401707416876,-0.13022829208082,0.5107421875,0.59375,0.5381944444444445,0.4618055555555555,0.4401041666666667
ADHD_178,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,0.08979846246894883,0.44082977997036454,0.14420831272807474,-0.041591846892250636,-0.3375467063636337,0.5161675347222222,0.6137152777777778,0.5329861111111112,0.4817708333333333,0.4244791666666667
ADHD_180,1,Stigma - ADHD,19,Female,consistent first,TRUE,TRUE,-0.10408981088745722,0.6213643252878837,-0.22864839073955212,-0.6941420253725651,-0.4592516801688704,0.4542100694444445,0.7491319444444445,0.42361111111111116,0.18576388888888884,0.4305555555555555
ADHD_184,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,-0.12368178837954436,0.19939617094139273,-0.051604316317292634,-0.3531109411410289,-0.23531426464021424,0.5345052083333334,0.6319444444444445,0.5043402777777778,0.4131944444444445,0.609375
ADHD_185,1,Stigma - ADHD,21,Male,consistent first,TRUE,TRUE,0.018785011692613554,0.4693721477798765,-0.2794572191690732,0.0786976263041588,0.01098190723092982,0.4921875,0.6762152777777778,0.47482638888888884,0.3567708333333333,0.5147569444444445
ADHD_207,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,-0.10315600718486026,0.3638857037226869,0.21625890279672083,-0.1819468783262786,-0.5858542613868171,0.46896701388888884,0.6180555555555555,0.6423611111111112,0.34809027777777785,0.32378472222222215
ADHD_209,1,Stigma - ADHD,19,Female,consistent first,TRUE,TRUE,0.0973975618027322,0.5158150178122872,0.4531842820668172,-0.2712831813035557,-0.5220665412197598,0.4710286458333333,0.6414930555555555,0.6388888888888888,0.3020833333333333,0.30295138888888884
ADHD_214,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,-0.26334841642259815,-0.036196037309689816,-0.3969640593414907,-0.17653174937202473,-0.47249182112125393,0.4793294270833333,0.6015625,0.4036458333333333,0.4913194444444445,0.421875
ADHD_217,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,0.03536112451112005,0.33977389048600637,-0.10340205003444101,-0.21619849331334115,0.13448529746853868,0.5085720486111112,0.7170138888888888,0.5034722222222222,0.2881944444444445,0.4947916666666667
ADHD_220,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,0.10372186405997293,0.2608854748050932,0.2668381403239492,-0.21099397608147247,0.1388382023221105,0.5113389756944445,0.5651041666666666,0.5086805555555555,0.4913194444444445,0.4774305555555555
ADHD_221,1,Stigma - ADHD,18,Male,consistent first,TRUE,TRUE,-0.24649354933040388,-0.18875311313638013,-0.49892515405519106,-0.4373835973139649,0.19933960808927062,0.4608289930555555,0.4774305555555555,0.390625,0.3671875,0.6128472222222222
ADHD_227,1,Stigma - ADHD,19,Male,consistent first,TRUE,TRUE,-0.1093427753367778,0.09709907834439205,-0.5617120641283108,-0.5950468586762471,0.7227801155768044,0.5221354166666666,0.5581597222222222,0.4453125,0.3585069444444445,0.7517361111111112
ADHD_232,1,Stigma - ADHD,18,Female,consistent first,TRUE,TRUE,0.1791570474376942,0.5836009489074515,0.2782429025214658,0.12913295491313237,-0.0192856434464801,0.5214301215277778,0.6736111111111112,0.6163194444444445,0.3854166666666667,0.4166666666666667
